form,lemma,id,lemma_id,sentence_id,pos,morphology
Въ,въ,2338769,58774,219202,R-,---------n
концъ,коньць,2338770,64399,219202,Nb,-s---ma--i
въ,въ,2338771,58774,219202,R-,---------n
пѣнꙑхъ,пѣниѥ,2338772,68823,219202,Nb,-p---nl--i
разѹмъ,разоумъ,2338773,64017,219202,Nb,-s---ma--i
д҃авид҃ов҃ъ,давꙑдовъ,2338774,64023,219259,A-,-s---mnpsi
псалмъ,псалъмъ,2338775,69176,219259,Nb,-s---mn--i
Въѹші,въоушити,2338776,150229,219203,V-,2spma----i
бж҃е,богъ,2338777,60009,219203,Nb,-s---mv--i
молітвѫ,молитва,2338778,59126,219203,Nb,-s---fa--i
моѭ,мои,2338779,58929,219203,Ps,1s---fa--i
Ї,и,2338780,58771,219204,C-,---------n
не,не,2338781,58767,219204,Df,---------n
прѣзърі,прѣзьрѣти,2338782,83523,219204,V-,2spma----i
моленъѣ,молѥниѥ,2338783,84527,219204,Nb,-s---ng--i
моего,мои,2338784,58929,219204,Ps,1s---ng--i
Вонъмі,вънѧти,2338785,81174,219205,V-,2spma----i
ї,и,2338786,58771,219205,C-,---------n
ѹслꙑші,оуслꙑшати,2338787,64238,219205,V-,2spma----i
мѩ,азъ,2338788,58807,219205,Pp,1s---pa--i
Въскръбѣхъ,въскръбѣти,2338789,150227,219206,V-,1saia----i
печальѭ,печаль,2338790,66757,219206,Nb,-s---fi--i
моеѭ,мои,2338791,58929,219206,Ps,1s---fi--i
ї,и,2338792,58771,219206,C-,---------n
съмѩ,съмѧсти,2338793,67604,219206,V-,1saia----i
сѩ,себе,2338794,58829,219206,Pk,3s---qa--i
Ѡтъ,отъ,2338795,58785,219206,R-,---------n
гласа,гласъ,2338796,58926,219206,Nb,-s---mg--i
вражьѣ,вражии,2338797,138060,219206,A-,-s---mgpsi
отъ,отъ,2338798,58785,219206,R-,---------n
сътѫжаньѣ,сътѫжаниѥ,2338799,124176,219206,Nb,-s---ng--i
грѣшьніча,грѣшьничь,2338800,150230,219206,A-,-s---ngpsi
Ѣко,ꙗко,2338801,72150,219208,Df,---------n
ѹклонішѩ,оуклонити,2338802,69266,219208,V-,3paia----i
на,на,2338803,58783,219208,R-,---------n
мѩ,азъ,2338804,58807,219208,Pp,1s---pa--i
безаконнъе,безаконениѥ,2338805,73662,219208,Nb,-s---na--i
Ї,и,2338806,58771,219208,C-,---------n
вь,въ,2338807,58774,219208,R-,---------n
гнѣвѣ,гнѣвъ,2338808,65122,219208,Nb,-s---ml--i
вражьдовахѫ,вражьдовати,2338809,136489,219208,V-,3piia----i
мнѣ,азъ,2338810,58807,219208,Pp,1s---pd--i
Ср҃дце,срьдьце,2338811,58805,219210,Nb,-s---nn--i
мое,мои,2338812,58929,219210,Ps,1s---nn--i
съмѩте,съмѧсти,2338813,67604,219210,V-,3saia----i
сѩ,себе,2338814,58829,219210,Pk,3s---qa--i
во,въ,2338815,58774,219210,R-,---------n
мнѣ,азъ,2338816,58807,219210,Pp,1s---pl--i
И,и,2338817,58771,219211,C-,---------n
страхъ,страхъ,2338818,59228,219211,Nb,-s---mn--i
съмрътьнꙑі,съмрьтьнъ,2338819,65966,219211,A-,-s---mnpwi
нападе,напасти,2338820,65662,219211,V-,3saia----i
на,на,2338821,58783,219211,R-,---------n
мѩ,азъ,2338822,58807,219211,Pp,1s---pa--i
Боѣзнъ,боꙗзнь,2338823,136482,219212,Nb,-s---fn--i
і,и,2338824,58771,219212,C-,---------n
трепетъ,трепетъ,2338825,65943,219212,Nb,-s---mn--i
пріде,прити,2338826,58916,219212,V-,3saia----i
на,на,2338827,58783,219212,R-,---------n
мѩ,азъ,2338828,58807,219212,Pp,1s---pa--i
и,и,2338829,58771,219213,C-,---------n
покрꙑ,покрꙑти,2338830,68405,219213,V-,3saia----i
мѩ,азъ,2338831,58807,219213,Pp,1s---ma--i
тъма,тьма,2338832,65883,219213,Nb,-s---fn--i
И,и,2338833,58771,219214,C-,---------n
рѣхъ,рещи,2338834,58793,219214,V-,1saia----i
къто,къто,2338835,59233,219254,Pi,-s---qn--i
дастъ,дати,2338836,58843,219254,V-,3spia----i
мнѣ,азъ,2338837,58807,219254,Pp,1s---md--i
крілѣ,крило,2338838,67796,219254,Nb,-d---na--i
ѣко,ꙗко,2338839,85825,219254,Df,---------n
голѫби,голѫбь,2338840,58924,219254,Nb,-s---mg--i
и,и,2338841,58771,219215,C-,---------n
полещѭ,полетѣти,2338842,150231,219215,V-,1spia----i
и,и,2338843,58771,219215,C-,---------n
почіѭ,почити,2338844,66566,219215,V-,1spia----i
Се,се,2338845,59292,219216,I-,---------n
ѹдалихъ,оудалити,2338846,117882,219216,V-,1saia----i
сѩ,себе,2338847,58829,219216,Pk,3s---qa--i
бѣгаѩ,бѣгати,2338848,64415,219216,V-,-sppamn-si
ї,и,2338849,58771,219217,C-,---------n
въдворихъ,въдворити,2338850,67234,219217,V-,1saia----i
сѩ,себе,2338851,58829,219217,Pk,3s---qa--i
въ,въ,2338852,58774,219217,R-,---------n
пѹстꙑні,поустꙑни,2338853,58875,219217,Nb,-s---fl--i
диѣпсал,диѣпсалъмъ,2338854,150232,219218,F-,---------n
Чаахъ,чаꙗти,2338855,65910,219255,V-,1siia----i
б҃а,богъ,2338856,60009,219255,Nb,-s---mg--i
сп҃аѭщаго,съпасати,2338857,68734,219255,V-,-sppamg-wi
мѩ,азъ,2338858,58807,219255,Pp,1s---pa--i
Ѡтъ,отъ,2338859,58785,219255,R-,---------n
прѣнемаганьѣ,прѣнемаганиѥ,2338860,150233,219255,Nb,-s---ng--i
дх҃а,доухъ,2338861,58909,219255,Nb,-s---mg--i
и,и,2338862,58771,219255,C-,---------n
бѹрѩ,боурꙗ,2338863,66787,219255,Nb,-s---fg--i
Потопи,потопити,2338864,67398,219220,V-,2spma----i
г҃і,господь,2338865,58858,219220,Nb,-s---mv--i
і,и,2338866,58771,219220,C-,---------n
раздѣлі,раздѣлити,2338867,66196,219220,V-,2spma----i
ѩзꙑ,ѩзꙑкъ,2338868,59128,219220,Nb,-p---ma--i
ихъ,и,2338869,58765,219220,Pp,3p---mg--i
Ѣко,ꙗко,2338870,72150,219221,Df,---------n
видѣхъ,видѣти,2338871,58918,219221,V-,1saia----i
безаконенье,безаконениѥ,2338872,73662,219221,Nb,-s---na--i
і,и,2338873,58771,219221,C-,---------n
прѣрѣканъе,прѣрѣканиѥ,2338874,138244,219221,Nb,-s---na--i
въ,въ,2338875,58774,219221,R-,---------n
градѣ,градъ,2338876,59272,219221,Nb,-s---ml--i
Денъ,дьнь,2338877,58915,219222,Nb,-s---ma--i
і,и,2338878,58771,219222,C-,---------n
нощъ,нощь,2338879,59412,219222,Nb,-s---fa--i
обідетъ,обити,2338880,69992,219222,V-,3spia----i
тѩ,тꙑ,2338881,58769,219222,Pp,2s---ma--i
по,по,2338882,58960,219222,R-,---------n
стѣнамъ,стѣна,2338883,82924,219222,Nb,-p---fd--i
его,и,2338884,58765,219222,Pp,3s---mg--i
Безаконнъе,безаконениѥ,2338885,73662,219223,Nb,-s---nn--i
і,и,2338886,58771,219223,C-,---------n
трѹдъ,троудъ,2338887,68611,219223,Nb,-s---mn--i
посрѣдѣ,посрѣдѣ,2338888,79093,219223,R-,---------n
его,и,2338889,58765,219223,Pp,3s---mg--i
неправъда,неправьда,2338890,68736,219223,Nb,-s---fn--i
И,и,2338891,58771,219224,C-,---------n
не,не,2338892,58767,219224,Df,---------n
оскѫдѣ,оскѫдѣти,2338893,68851,219224,V-,3saia----i
отъ,отъ,2338894,58785,219224,R-,---------n
пѫті,пѫть,2338895,58763,219224,Nb,-s---mg--i
его,и,2338896,58765,219224,Pp,3s---mg--i
ліхва,лихва,2338897,68956,219224,Nb,-s---fn--i
и,и,2338898,58771,219224,C-,---------n
льстъ,льсть,2338899,64213,219224,Nb,-s---fn--i
Ѣко,ꙗко,2338900,72150,219225,Df,---------n
аще,аще,2338901,58819,219225,G-,---------n
мі,азъ,2338902,58807,219225,Pp,1s---md--i
би,бꙑти,2338903,58773,219225,V-,3spsa----i
врагъ,врагъ,2338904,64025,219225,Nb,-s---mn--i
поносілъ,поносити,2338905,65880,219225,V-,-sspamn-si
прѣтръпѣлъ,прѣтрьпѣти,2338906,64397,219225,V-,-sspamn-si
ѹбо,оубо,2338907,58911,219225,Df,---------n
бимъ,бꙑти,2338908,58773,219225,V-,1spsa----i
И,и,2338909,58771,219226,C-,---------n
аще,аще,2338910,58819,219226,G-,---------n
бі,бꙑти,2338911,58773,219226,V-,3spsa----i
ненавідѩі,ненавидѣти,2338912,64396,219226,V-,-sppamn-wi
мне,азъ,2338913,58807,219226,Pp,1s---pg--i
на,на,2338914,58783,219226,R-,---------n
мѩ,азъ,2338915,58807,219226,Pp,1s---pa--i
велърѣчевалъ,вельрѣчевати,2338916,150234,219226,V-,-sspamn-si
Оукрꙑлъ,оукрꙑти,2338917,68963,219226,V-,-sspamn-si
сѩ,себе,2338918,58829,219226,Pk,3s---qa--i
бимъ,бꙑти,2338919,58773,219226,V-,1spsa----i
ѹбо,оубо,2338920,58911,219226,Df,---------n
отъ,отъ,2338921,58785,219226,R-,---------n
него,и,2338922,58765,219226,Pp,3s---mg--i
Тꙑ,тꙑ,2338923,58769,219228,Pp,2s---mn--i
же,же,2338924,58808,219228,Df,---------n
чв҃че,чловѣкъ,2338925,59198,219228,Nb,-s---mv--i
равьнодш҃ьне,равьнодоушьнъ,2338926,150235,219228,A-,-s---mvpsi
Вл҃ко,владꙑка,2338927,67715,219228,Nb,-s---mv--i
моі,мои,2338928,58929,219228,Ps,1s---mv--i
знанъе,знаниѥ,2338929,67731,219228,Nb,-s---nn--i
мое,мои,2338930,58929,219228,Ps,1s---nn--i
Їже,иже,2338931,58800,219228,Pr,-s---mn--i
кѹпьно,коупьно,2338932,67033,219228,Df,---------n
насаділъ,насладити,2338933,83423,219228,V-,-sspamn-si
мнѣ,азъ,2338934,58807,219228,Pp,1s---md--i
брашьна,брашьно,2338935,67757,219228,Nb,-s---ng--i
Въ,въ,2338936,58774,219256,R-,---------n
храмѣ,храмъ,2338937,59125,219256,Nb,-s---ml--i
бж҃ы,божии,2338938,59032,219256,A-,-s---mlpsi
ходіховѣ,ходити,2338939,58986,219256,V-,1daia----i
іномъшленьемъ,иномꙑшлѥниѥ,2338940,150236,219256,Nb,-s---ni--i
Да,да,2338941,60071,219231,Df,---------n
прідетъ,прити,2338942,58916,219231,V-,3spia----i
съмръть,съмрьть,2338943,64177,219231,Nb,-s---fn--i
на,на,2338944,58783,219231,R-,---------n
нѩ,и,2338945,58765,219231,Pp,3p---pa--i
сънідѫтъ,сънити,2338946,65861,219257,V-,3ppia----i
въ,въ,2338947,58774,219257,R-,---------n
адъ,адъ,2338948,67495,219257,Nb,-s---ma--i
живи,живъ,2338949,60155,219257,A-,-p---mnpsi
Ѣко,ꙗко,2338950,72150,219232,Df,---------n
зълоба,зълоба,2338951,66529,219232,Nb,-s---fn--i
въ,въ,2338952,58774,219232,R-,---------n
жиліщіхъ,жилище,2338953,59408,219232,Nb,-p---nl--i
іхъ,и,2338954,58765,219232,Pp,3p---mg--i
посрѣдѣ,посрѣдѣ,2338955,79093,219232,R-,---------n
їхъ,и,2338956,58765,219232,Pp,3p---mg--i
Азъ,азъ,2338957,58807,219233,Pp,1s---qn--i
къ,къ,2338958,58898,219233,R-,---------n
б҃ѹ,богъ,2338959,60009,219233,Nb,-s---md--i
возьвахъ,възъвати,2338960,59054,219233,V-,1saia----i
і,и,2338961,58771,219233,C-,---------n
г҃ъ,господь,2338962,58858,219233,Nb,-s---mn--i
ѹслъша,оуслꙑшати,2338963,64238,219233,V-,3saia----i
мѩ,азъ,2338964,58807,219233,Pp,1s---pa--i
Вечеръ,вечеръ,2338965,65074,219234,Nb,-s---ma--i
ї,и,2338966,58771,219234,C-,---------n
ютро,оутро,2338967,69022,219234,Nb,-s---na--i
и,и,2338968,58771,219234,C-,---------n
полѹ,полъ,2339088,59045,219234,Nb,-s---mg--i
дъне,дьнь,2339092,58915,219234,Nb,-s---mg--i
повѣмъ,повѣдѣти,2338970,60271,219234,V-,1spia----i
Възвѣщѫ,възвѣстити,2338971,64057,219235,V-,1spia----i
ѣко,ꙗко,2338972,58792,219235,G-,---------n
ѹслꙑша,оуслꙑшати,2338973,64238,219235,V-,3saia----i
гласъ,гласъ,2338974,58926,219235,Nb,-s---ma--i
моі,мои,2338975,58929,219235,Ps,1s---ma--i
Избавітъ,избавити,2338976,66370,219236,V-,3spia----i
міромъ,миръ,2338977,69989,219236,Nb,-s---mi--i
дш҃ѫ,доуша,2338978,60303,219236,Nb,-s---fa--i
моѭ,мои,2338979,58929,219236,Ps,1s---fa--i
Ѡтъ,отъ,2338980,58785,219236,R-,---------n
прібліжаѭщіихъ,приближати,2338981,66856,219236,V-,-pppamg-wi
сѩ,себе,2338982,58829,219236,Pk,3s---qa--i
мнѣ,азъ,2338983,58807,219236,Pp,1s---pd--i
Ѣко,ꙗко,2338984,72150,219238,Df,---------n
во,въ,2338985,58774,219238,R-,---------n
мноѕѣхъ,мъногъ,2338986,58961,219238,A-,-p---plpsi
бѣахѫ,бꙑти,2338987,58773,219238,V-,3piia----i
съ,съ,2338988,58764,219238,R-,---------n
мноѭ,азъ,2338989,58807,219238,Pp,1s---pi--i
Оуслꙑтъ,оуслꙑшати,2338990,64238,219239,V-,3spia----i
б҃ъ,богъ,2338991,60009,219239,Nb,-s---mn--i
и,и,2338992,58771,219239,C-,---------n
съмѣрітъ,съмѣрити,2338993,67397,219239,V-,3spia----i
ѩ,и,2338994,58765,219239,Pp,3p---pa--i
сꙑ,бꙑти,2338995,58773,219239,V-,-sppamn-si
прѣжде,прѣжде,2338996,65945,219239,R-,---------n
вѣкъ,вѣкъ,2338997,59093,219239,Nb,-p---mg--i
Нѣстъ,не бꙑти,2338998,58890,219241,V-,3spia----i
бо,бо,2338999,58825,219241,Df,---------n
імъ,и,2339000,58765,219241,Pp,3p---pd--i
измѣненьѣ,измѣнѥниѥ,2339001,78989,219241,Nb,-s---ng--i
Ѣко,ꙗко,2339002,72150,219242,Df,---------n
и,и,2339003,58901,219242,Df,---------n
не,не,2339004,58767,219242,Df,---------n
ѹбоѣшѩ,оубоꙗти,2339005,59760,219242,V-,3paia----i
сѩ,себе,2339006,58829,219242,Pk,3s---qa--i
б҃а,богъ,2339007,60009,219242,Nb,-s---mg--i
Прострѣтъ,прострѣти,2339009,64138,219258,V-,3saia----i
рѫкѫ,рѫка,2339010,58831,219258,Nb,-s---fa--i
своѭ,свои,2339011,58780,219258,Pt,3s---fa--i
на,на,2339012,58783,219258,R-,---------n
въздание,възданиѥ,2339013,150238,219258,Nb,-s---na--i
Оскврънішѩ,оскврьнити,2339014,64200,219244,V-,3paia----i
на,на,2339015,58783,219244,R-,---------n
земи,землꙗ,2339016,64341,219244,Nb,-s---fl--i
завѣтъ,завѣтъ,2339017,65118,219244,Nb,-s---ma--i
его,и,2339018,58765,219244,Pp,3s---mg--i
Раздѣлішѩ,раздѣлити,2339019,66196,219245,V-,3paia----i
сѩ,себе,2339020,58829,219245,Pk,3s---qa--i
отъ,отъ,2339021,58785,219245,R-,---------n
гнѣва,гнѣвъ,2339022,65122,219245,Nb,-s---mg--i
ліца,лице,2339023,59927,219245,Nb,-s---ng--i
его,и,2339024,58765,219245,Pp,3s---mg--i
Ї,и,2339025,58771,219246,C-,---------n
прібліжішѩ,приближити,2339026,58903,219246,V-,3paia----i
сѩ,себе,2339027,58829,219246,Pk,3s---qa--i
ср҃дца,срьдьце,2339028,58805,219246,Nb,-p---nn--i
іхъ,и,2339029,58765,219246,Pp,3p---mg--i
Оумѩкнѫшѩ,оумѧкнѫти,2339030,150239,219247,V-,3paia----i
словеса,слово,2339031,58855,219247,Nb,-p---nn--i
іхъ,и,2339032,58765,219247,Pp,3p---mg--i
паче,паче,2339033,60327,219247,Df,-------c-i
олѣа,олѣи,2339034,66321,219247,Nb,-s---mg--i
И,и,2339035,58771,219248,C-,---------n
та,тъ,2339036,58908,219248,Pd,-p---nn--i
сѫтъ,бꙑти,2339037,58773,219248,V-,3ppia----i
стрѣлꙑ,стрѣла,2339038,84203,219248,Nb,-p---fn--i
Вьзвръѕі,възврѣщи,2339039,68961,219249,V-,2spma----i
на,на,2339040,58783,219249,R-,---------n
г҃ѣ,господь,2339041,58858,219249,Nb,-s---ml--i
печьль,печаль,2339042,66757,219249,Nb,-s---fa--i
твоѭ,твои,2339043,58814,219249,Ps,2s---fa--i
и,и,2339044,58771,219249,C-,---------n
тъ,тъ,2339045,58908,219249,Pd,-s---mn--i
тѩ,тꙑ,2339046,58769,219249,Pp,2s---pa--i
прѣпитѣетъ,прѣпитѣти,2339047,138192,219249,V-,3spia----i
Не,не,2339048,58767,219250,Df,---------n
дастъ,дати,2339049,58843,219250,V-,3spia----i
въ,въ,2339050,58774,219250,R-,---------n
вѣкъ,вѣкъ,2339051,59093,219250,Nb,-s---ma--i
млъвꙑ,млъва,2339052,64859,219250,Nb,-s---fg--i
праведьникѹ,правьдьникъ,2339053,65559,219250,Nb,-s---md--i
тꙑ,тꙑ,2339054,58769,219251,Pp,2s---mn--i
же,же,2339055,58808,219251,Df,---------n
бж҃е,богъ,2339056,60009,219251,Nb,-s---mv--i
нізъведеши,низъвести,2339057,68583,219251,V-,2spia----i
ѩ,и,2339058,58765,219251,Pp,3p---pa--i
въ,въ,2339059,58774,219251,R-,---------n
стѹденецъ,стоуденьць,2339060,68742,219251,Nb,-s---ma--i
истълѣньѣ,истьлѣниѥ,2339061,122729,219251,Nb,-s---ng--i
Мѫжи,мѫжь,2339062,65437,219252,Nb,-p---mn--i
крьвꙑ,кръвь,2339063,60329,219252,Nb,-p---fg--i
ї,и,2339064,58771,219252,C-,---------n
льстіиві,льстивъ,2339065,83267,219252,A-,-p---mnpsi
